,Community Area Mentioned,Coordinates,Day and Time,Number of Times Liked,Number of Times Retweeted,Tweet Content
1578,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 00:28:10,0,0,"I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/jIovogbFNB"
1579,o'hare,,2016-03-10 00:21:09,0,2,"RT @tdenoyer: I hour delayed, hopefully catch flight to CMI (@ Chicago O'Hare International Airport (ORD) in Chicago, IL) https://t.co/lbPq…"
1580,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 00:20:55,0,0,"Next meeting in Montreal (@ Chicago O'Hare International Airport (ORD) in Chicago, IL) https://t.co/4qpeqigdqb"
1581,o'hare,"{'coordinates': [-87.90353091, 41.97695318], 'type': 'Point'}",2016-03-10 00:20:04,1,0,"Hello America, it's good to see you again #acpa16 @ Chicago O'Hare International Airport https://t.co/dZ00CXfs6y"
1582,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 00:12:11,0,2,"I hour delayed, hopefully catch flight to CMI (@ Chicago O'Hare International Airport (ORD) in Chicago, IL) https://t.co/lbPqShFPUT"
1583,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-09 23:00:24,0,0,"Delayed at O'Hare, not surprised! (@ Chicago O'Hare International Airport (ORD) in Chicago, IL) https://t.co/OUBTYKippl"
1584,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-09 21:13:21,0,0,"Pit stop (@ Chicago O'Hare International Airport (ORD) in Chicago, IL) https://t.co/kziwKH8TUs"
1585,o'hare,,2016-03-09 21:08:58,0,2,"RT @stevewoz: Arrival of UA 1883 LAX to ORD. (@ Chicago O'Hare International Airport (ORD) in Chicago, IL) https://t.co/wql4WllELa"
1586,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-09 21:08:36,22,2,"Arrival of UA 1883 LAX to ORD. (@ Chicago O'Hare International Airport (ORD) in Chicago, IL) https://t.co/wql4WllELa"
1587,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-09 21:03:08,0,0,"I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/uawsfzhTCI"
1588,o'hare,"{'coordinates': [-87.90353091, 41.97695318], 'type': 'Point'}",2016-03-09 20:54:48,0,0,Just posted a photo @ Chicago O'Hare International Airport https://t.co/cSd3dp1SOY
1589,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-09 20:42:17,0,0,"I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/MmNzfB9179"
1590,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-09 20:37:55,0,0,"I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/DhVzpxrl7O"
1591,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-09 20:33:43,0,0,"I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/s3y9TUIk9p"
1592,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-09 20:07:40,0,0,"I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/7nyJ7LvN4U"
1593,o'hare,"{'coordinates': [-87.90353091, 41.97695318], 'type': 'Point'}",2016-03-09 20:06:20,0,0,"Doing what she does best on that cell phone,lol! @ Chicago O'Hare International Airport https://t.co/E9lS7eOgaR"
1594,o'hare,"{'coordinates': [-87.90353091, 41.97695318], 'type': 'Point'}",2016-03-09 18:57:23,0,0,😈😈😈😈😈 @ Chicago O'Hare International Airport https://t.co/Wt01graQgv
1595,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-09 18:51:33,0,0,"ORD ✈️ LGA (@ Chicago O'Hare International Airport (ORD) in Chicago, IL) https://t.co/c7Xg5UUC5o"
